Id,Rate Category Id,Rate Category,Distance,Rate
0,3,Rates for White Products,530,0.792089
0,3,Rates for White Products,531,0.792718
0,3,Rates for White Products,532,0.793347
0,3,Rates for White Products,533,0.793976
0,3,Rates for White Products,534,0.794604
0,3,Rates for White Products,535,0.795233
0,3,Rates for White Products,536,0.795862
0,3,Rates for White Products,537,0.796491
0,3,Rates for White Products,538,0.79712
0,3,Rates for White Products,539,0.797749
0,3,Rates for White Products,540,0.798377
0,3,Rates for White Products,541,0.799006
0,3,Rates for White Products,542,0.799635
0,3,Rates for White Products,543,0.800264
0,3,Rates for White Products,544,0.800893
0,3,Rates for White Products,545,0.801522
0,3,Rates for White Products,546,0.80215
0,3,Rates for White Products,547,0.802779
0,3,Rates for White Products,548,0.803408
0,3,Rates for White Products,549,0.804037
0,3,Rates for White Products,550,0.804666
0,3,Rates for White Products,551,0.805295
0,3,Rates for White Products,552,0.805923
0,3,Rates for White Products,553,0.806552
0,3,Rates for White Products,554,0.807181
0,3,Rates for White Products,555,0.80781
0,3,Rates for White Products,556,0.808439
0,3,Rates for White Products,557,0.809068
0,3,Rates for White Products,558,0.809696
0,3,Rates for White Products,559,0.810325
0,3,Rates for White Products,560,0.810954
0,3,Rates for White Products,561,0.811583
0,3,Rates for White Products,562,0.812212
0,3,Rates for White Products,563,0.812841
0,3,Rates for White Products,564,0.813469
0,3,Rates for White Products,565,0.814098
0,3,Rates for White Products,566,0.814727
0,3,Rates for White Products,567,0.815356
0,3,Rates for White Products,568,0.815985
0,3,Rates for White Products,569,0.816614
0,3,Rates for White Products,570,0.817242
0,3,Rates for White Products,571,0.817871
0,3,Rates for White Products,572,0.8185
0,3,Rates for White Products,573,0.819129
0,3,Rates for White Products,574,0.819758
0,3,Rates for White Products,575,0.820387
0,3,Rates for White Products,576,0.821015
0,3,Rates for White Products,577,0.821644
0,3,Rates for White Products,578,0.822273
0,3,Rates for White Products,579,0.822902
0,3,Rates for White Products,580,0.823531
0,3,Rates for White Products,581,0.82416
0,3,Rates for White Products,582,0.824788
0,3,Rates for White Products,583,0.825417
0,3,Rates for White Products,584,0.826046
0,3,Rates for White Products,585,0.826675
0,3,Rates for White Products,586,0.827304
0,3,Rates for White Products,587,0.827933
0,3,Rates for White Products,588,0.828561
0,3,Rates for White Products,589,0.82919
0,3,Rates for White Products,590,0.829819
0,3,Rates for White Products,591,0.830448
0,3,Rates for White Products,592,0.831077
0,3,Rates for White Products,593,0.831706
0,3,Rates for White Products,594,0.832334
0,3,Rates for White Products,595,0.832963
0,3,Rates for White Products,596,0.833592
0,3,Rates for White Products,597,0.834221
0,3,Rates for White Products,598,0.83485
0,3,Rates for White Products,599,0.835479
0,3,Rates for White Products,600,0.836107
0,3,Rates for White Products,601,0.836736
0,3,Rates for White Products,602,0.837365
0,3,Rates for White Products,603,0.837994
0,3,Rates for White Products,604,0.838623
0,3,Rates for White Products,605,0.839252
0,3,Rates for White Products,606,0.83988
0,3,Rates for White Products,607,0.840509
0,3,Rates for White Products,608,0.841138
0,3,Rates for White Products,609,0.841767
0,3,Rates for White Products,610,0.842396
0,3,Rates for White Products,611,0.843025
0,3,Rates for White Products,612,0.843653
0,3,Rates for White Products,613,0.844282
0,3,Rates for White Products,614,0.844911
0,3,Rates for White Products,615,0.84554
0,3,Rates for White Products,616,0.846169
0,3,Rates for White Products,617,0.846798
0,3,Rates for White Products,618,0.847426
0,3,Rates for White Products,619,0.848055
0,3,Rates for White Products,620,0.848684
0,3,Rates for White Products,621,0.849313
0,3,Rates for White Products,622,0.849942
0,3,Rates for White Products,623,0.850571
0,3,Rates for White Products,624,0.851199
0,3,Rates for White Products,625,0.851828
0,3,Rates for White Products,626,0.852457
0,3,Rates for White Products,627,0.853086
0,3,Rates for White Products,628,0.853715
0,3,Rates for White Products,629,0.854344
0,3,Rates for White Products,630,0.854972
0,3,Rates for White Products,631,0.855601
0,3,Rates for White Products,632,0.85623
0,3,Rates for White Products,633,0.856859
0,3,Rates for White Products,634,0.857488
0,3,Rates for White Products,635,0.858117
0,3,Rates for White Products,636,0.858745
0,3,Rates for White Products,637,0.859374
0,3,Rates for White Products,638,0.860003
0,3,Rates for White Products,639,0.860632
0,3,Rates for White Products,640,0.861261
0,3,Rates for White Products,641,0.86189
0,3,Rates for White Products,642,0.862519
0,3,Rates for White Products,643,0.863147
0,3,Rates for White Products,644,0.863776
0,3,Rates for White Products,645,0.864405
0,3,Rates for White Products,646,0.865034
0,3,Rates for White Products,647,0.865663
0,3,Rates for White Products,648,0.866292
0,3,Rates for White Products,649,0.86692
0,3,Rates for White Products,650,0.867549
0,3,Rates for White Products,651,0.868178
0,3,Rates for White Products,652,0.868807
0,3,Rates for White Products,653,0.869436
0,3,Rates for White Products,654,0.870065
0,3,Rates for White Products,655,0.870693
0,3,Rates for White Products,656,0.871322
0,3,Rates for White Products,657,0.871951
0,3,Rates for White Products,658,0.87258
0,3,Rates for White Products,659,0.873209
0,3,Rates for White Products,660,0.873838
0,3,Rates for White Products,661,0.874466
0,3,Rates for White Products,662,0.875095
0,3,Rates for White Products,663,0.875724
0,3,Rates for White Products,664,0.876353
0,3,Rates for White Products,665,0.876982
0,3,Rates for White Products,666,0.877611
0,3,Rates for White Products,667,0.878239
0,3,Rates for White Products,668,0.878868
0,3,Rates for White Products,669,0.879497
0,3,Rates for White Products,670,0.880126
0,3,Rates for White Products,671,0.880755
0,3,Rates for White Products,672,0.881384
0,3,Rates for White Products,673,0.882012
0,3,Rates for White Products,674,0.882641
0,3,Rates for White Products,675,0.88327
0,3,Rates for White Products,676,0.883899
0,3,Rates for White Products,677,0.884528
0,3,Rates for White Products,678,0.885157
0,3,Rates for White Products,679,0.885785
0,3,Rates for White Products,680,0.886414
0,3,Rates for White Products,681,0.887043
0,3,Rates for White Products,682,0.887672
0,3,Rates for White Products,683,0.888301
0,3,Rates for White Products,684,0.88893
0,3,Rates for White Products,685,0.889558
0,3,Rates for White Products,686,0.890187
0,3,Rates for White Products,687,0.890816
0,3,Rates for White Products,688,0.891445
0,3,Rates for White Products,689,0.892074
0,3,Rates for White Products,690,0.892703
0,3,Rates for White Products,691,0.893331
0,3,Rates for White Products,692,0.89396
0,3,Rates for White Products,693,0.894589
0,3,Rates for White Products,694,0.895218
0,3,Rates for White Products,695,0.895847
0,3,Rates for White Products,696,0.896476
0,3,Rates for White Products,697,0.897104
0,3,Rates for White Products,698,0.897733
0,3,Rates for White Products,699,0.898362
0,3,Rates for White Products,700,0.898991
0,3,Rates for White Products,701,0.89962
0,3,Rates for White Products,702,0.900249
0,3,Rates for White Products,703,0.900877
0,3,Rates for White Products,704,0.901506
0,3,Rates for White Products,705,0.902135
0,3,Rates for White Products,706,0.902764
0,3,Rates for White Products,707,0.903393
0,3,Rates for White Products,708,0.904022
0,3,Rates for White Products,709,0.90465
0,3,Rates for White Products,710,0.905279
0,3,Rates for White Products,711,0.905908
0,3,Rates for White Products,712,0.906537
0,3,Rates for White Products,713,0.907166
0,3,Rates for White Products,714,0.907795
0,3,Rates for White Products,715,0.908423
0,3,Rates for White Products,716,0.909052
0,3,Rates for White Products,717,0.909681
0,3,Rates for White Products,718,0.91031
0,3,Rates for White Products,719,0.910939
0,3,Rates for White Products,720,0.911568
0,3,Rates for White Products,721,0.912196
0,3,Rates for White Products,722,0.912825
0,3,Rates for White Products,723,0.913454
0,3,Rates for White Products,724,0.914083
0,3,Rates for White Products,725,0.914712
0,3,Rates for White Products,726,0.915341
0,3,Rates for White Products,727,0.915969
0,3,Rates for White Products,728,0.916598
0,3,Rates for White Products,729,0.917227
0,3,Rates for White Products,730,0.917856
